created_at,entry_id,x,y,z,is_collision,batch_id
2025-01-09T01:57:34+00:00,1,-1.69,0.67,-9.14,1,644591
2025-01-09T01:57:51+00:00,2,-1.65,0.67,-9.18,1,644591
2025-01-09T01:58:09+00:00,3,-1.61,0.63,-9.22,1,644591
2025-01-09T01:58:26+00:00,4,-1.65,0.63,-9.18,1,644591
2025-01-09T01:58:43+00:00,5,-1.65,0.55,-9.26,1,644591
2025-01-09T01:59:10+00:00,6,-1.65,0.63,-9.18,1,489376
2025-01-09T01:59:48+00:00,7,-1.65,0.75,-9.18,1,489376
2025-01-09T02:00:08+00:00,8,-1.61,0.67,-9.18,1,489376
2025-01-09T02:00:25+00:00,9,-1.65,0.67,-9.14,1,489376
2025-01-09T02:00:51+00:00,10,-1.49,0.59,-9.26,1,833744
2025-01-09T02:01:22+00:00,11,-0.47,-0.98,-7.34,1,123681
2025-01-09T02:01:39+00:00,12,-1.22,1.92,-9.06,1,123681
2025-01-09T02:01:56+00:00,13,-1.61,0.59,-9.38,1,123681
2025-01-09T02:02:14+00:00,14,-1.29,1.29,-9.26,1,123681
2025-01-09T02:02:31+00:00,15,-0.2,-0.75,-13.26,1,123681
2025-01-09T02:03:16+00:00,16,-1.69,0.71,-9.1,1,877227
2025-01-09T02:03:33+00:00,17,-1.69,0.71,-9.18,1,877227
2025-01-09T02:03:51+00:00,18,-1.73,0.71,-9.14,1,877227
2025-01-09T02:04:08+00:00,19,-1.73,0.71,-9.18,1,877227
2025-01-09T02:04:25+00:00,20,-1.69,0.71,-9.14,1,877227
2025-01-09T02:04:51+00:00,21,-1.53,0.78,-9.14,1,397090
2025-01-09T02:05:08+00:00,22,-1.53,0.67,-9.26,1,397090
2025-01-09T02:05:26+00:00,23,-1.65,1.18,-9.53,1,397090
2025-01-09T02:05:43+00:00,24,-1.49,1.18,-9.49,1,397090
2025-01-09T02:06:00+00:00,25,-1.53,0.78,-9.18,1,397090
2025-01-09T02:06:27+00:00,26,-1.77,0.67,-9.1,1,251842
2025-01-09T02:06:44+00:00,27,-1.06,0.71,-9.65,1,251842
2025-01-09T02:07:02+00:00,28,1.8,1.22,-6.79,1,251842
