created_at,entry_id,field1,field2,field3,field4,field5
2025-01-09 03:19:27 UTC,70,-3.02,2.31,-11.14,0,945804
2025-01-09 03:20:09 UTC,71,-2.04,0.63,-9.02,0,505389
2025-01-09 03:20:26 UTC,72,-2.12,0.63,-9.81,0,505389
2025-01-09 03:20:44 UTC,73,-2,0.71,-8.98,0,505389
2025-01-09 03:21:01 UTC,74,-2,0.75,-8.94,0,505389
2025-01-09 03:21:25 UTC,75,-2.16,0.67,-8.71,0,312995
2025-01-09 03:21:43 UTC,76,-2.16,0.67,-8.98,0,312995
2025-01-09 03:22:00 UTC,77,-2.12,0.71,-8.87,0,312995
2025-01-09 03:22:17 UTC,78,-2.12,0.75,-8.94,0,312995
2025-01-09 03:22:35 UTC,79,-2.08,0.75,-8.94,0,312995
2025-01-09 03:23:17 UTC,80,-2.16,0.71,-8.9,0,572384
2025-01-09 03:23:35 UTC,81,-2.16,0.67,-8.9,0,572384
2025-01-09 03:23:52 UTC,82,-2.12,0.67,-8.94,0,572384
2025-01-09 03:24:09 UTC,83,-2.16,0.75,-8.9,0,572384
2025-01-09 03:24:34 UTC,84,-2.2,0.75,-8.87,0,517087
2025-01-09 03:24:51 UTC,85,-2.16,0.78,-8.87,0,517087
2025-01-09 03:25:08 UTC,86,-2.2,0.75,-8.87,0,517087
2025-01-09 03:25:26 UTC,87,-2.2,0.75,-8.87,0,517087
2025-01-09 03:25:44 UTC,88,-2.16,0.75,-8.94,0,517087
2025-01-09 03:26:09 UTC,89,-2.16,0.78,-8.98,0,418000
2025-01-09 03:26:26 UTC,90,-2.2,0.63,-8.98,0,418000
2025-01-09 03:26:44 UTC,91,-2.16,0.71,-8.98,0,418000
2025-01-09 03:27:01 UTC,92,-2.16,0.75,-8.94,0,418000
2025-01-09 03:27:18 UTC,93,-2.2,0.67,-8.94,0,418000
2025-01-09 03:27:43 UTC,94,-1.49,1.02,-9.06,0,622994
2025-01-09 03:28:00 UTC,95,-1.57,0.98,-9.02,0,622994
2025-01-09 03:28:17 UTC,96,-1.22,0.47,-8.94,0,622994
2025-01-09 03:28:35 UTC,97,-2.43,-0.43,-8.75,0,622994
2025-01-09 03:28:52 UTC,98,-1.92,1.02,-8.9,0,622994
2025-01-09 03:29:16 UTC,99,-2.16,0.71,-8.94,0,325395
2025-01-09 03:29:34 UTC,100,-2.2,0.67,-8.9,0,325395
2025-01-09 03:29:51 UTC,101,-2.16,0.63,-8.9,0,325395
2025-01-09 03:30:08 UTC,102,-2.12,0.63,-8.98,0,325395
2025-01-09 03:30:26 UTC,103,-2.12,0.63,-8.94,0,325395
2025-01-09 03:30:50 UTC,104,-1.77,0.75,-8.87,0,904527
2025-01-09 03:31:08 UTC,105,-2.12,1.29,-10,0,904527
2025-01-09 03:31:25 UTC,106,-0.9,-0.08,-8.39,0,904527
2025-01-09 03:31:42 UTC,107,-3.3,0.2,-8.16,0,904527
2025-01-09 03:31:59 UTC,108,-2.43,1.88,-10.12,0,904527
2025-01-09 03:32:24 UTC,109,-2.24,0.59,-8.9,0,941049
2025-01-09 03:32:41 UTC,110,-2.2,0.63,-8.98,0,941049
2025-01-09 03:32:58 UTC,111,-2.2,0.63,-8.94,0,941049
2025-01-09 03:33:15 UTC,112,-2.2,0.59,-8.98,0,941049
2025-01-09 03:33:33 UTC,113,-2.16,0.59,-8.9,0,941049
2025-01-09 03:33:57 UTC,114,-2.28,0.75,-8.87,0,614126
2025-01-09 03:34:15 UTC,115,-2.9,0.75,-9.02,0,614126
2025-01-09 03:34:32 UTC,116,-3.22,1.73,-7.96,0,614126
2025-01-09 03:34:49 UTC,117,-3.49,0.63,-8.08,0,614126
2025-01-09 03:35:06 UTC,118,-1.77,1.26,-8.63,0,614126
2025-01-09 03:35:31 UTC,119,-2.24,0.82,-8.98,0,441913
2025-01-09 03:35:48 UTC,120,-1.49,0.31,-9.26,0,441913
2025-01-09 03:36:05 UTC,121,-0.94,0.16,-8.87,0,441913
2025-01-09 03:36:23 UTC,122,-1.65,0.24,-9.26,0,441913
2025-01-09 03:36:40 UTC,123,-2.67,1.84,-9.77,0,441913
2025-01-09 03:37:05 UTC,124,-3.57,2,-12.67,0,985059
2025-01-09 03:37:22 UTC,125,-2.2,0.59,-8.47,0,985059
2025-01-09 03:37:39 UTC,126,-2.67,-0.04,-8.43,0,985059
2025-01-09 03:37:57 UTC,127,-1.29,0.31,-9.1,0,985059
2025-01-09 03:38:14 UTC,128,-2.28,0.16,-9.77,0,985059
2025-01-09 03:38:39 UTC,129,-2.47,0.9,-9.73,0,851437
2025-01-09 03:38:56 UTC,130,-1.8,1.02,-9.53,0,851437
2025-01-09 03:39:14 UTC,131,-2.24,1.29,-8.71,0,851437
2025-01-09 03:39:33 UTC,132,-1.26,0.86,-9.14,0,851437
2025-01-09 03:39:51 UTC,133,-2.24,0.43,-8.83,0,851437
2025-01-09 03:40:15 UTC,134,-2.08,0.86,-8.87,0,430433
2025-01-09 03:40:33 UTC,135,-1.84,0.55,-8.63,0,430433
2025-01-09 03:40:50 UTC,136,-2.51,0.63,-8.67,0,430433
2025-01-09 03:41:08 UTC,137,-2.9,0.31,-8.24,0,430433
2025-01-09 03:41:25 UTC,138,-2.47,1.49,-9.3,0,430433
2025-01-09 03:41:50 UTC,139,-2.04,2,-9.45,0,647292
2025-01-09 03:42:08 UTC,140,-2.9,0.82,-7.81,0,647292
2025-01-09 03:42:25 UTC,141,-1.45,1.02,-8.94,0,647292
2025-01-09 03:42:42 UTC,142,-2.28,0.24,-8.98,0,647292
2025-01-09 03:42:59 UTC,143,-2.63,0,-9.34,0,647292
2025-01-09 03:43:24 UTC,144,-1.02,1.02,-9.18,0,353387
2025-01-09 03:43:41 UTC,145,-1.88,1.29,-10.87,0,353387
2025-01-09 03:43:59 UTC,146,-3.18,-0.71,-8.47,0,353387
2025-01-09 03:44:16 UTC,147,-2.63,0.86,-8.79,0,353387
2025-01-09 03:44:33 UTC,148,-2.12,0.63,-9.02,0,353387
2025-01-09 06:45:39 UTC,149,-4.71,-0.04,-7.81,0,927924
2025-01-09 06:45:56 UTC,150,-4.71,-0.04,-7.77,0,927924
2025-01-09 06:46:18 UTC,151,-4.71,0,-7.85,0,927924
2025-01-09 06:46:37 UTC,152,-4.71,-0.08,-8,0,927924
2025-01-09 06:46:55 UTC,153,-5.33,-0.24,-7.69,0,927924
2025-01-09 06:47:40 UTC,154,-7.34,-1.14,5.45,0,180531
2025-01-09 06:47:59 UTC,155,-6.98,-1.18,6.12,0,180531
2025-01-09 06:48:16 UTC,156,-6.32,-1.37,7.34,0,180531
2025-01-09 06:49:38 UTC,157,0.86,-1.84,-9.18,0,337777
2025-01-09 06:49:56 UTC,158,0.16,0.08,-9.85,0,337777
2025-01-09 06:50:13 UTC,159,0.35,0.78,-9.26,0,337777
2025-01-09 06:50:37 UTC,160,-0.08,0.67,-9.26,0,665775
2025-01-09 06:50:56 UTC,161,-0.2,0.55,-9.22,0,665775
2025-01-09 06:51:13 UTC,162,-0.67,-1.29,-9.22,0,665775
2025-01-09 06:51:30 UTC,163,-0.27,1.53,-9.22,0,665775
2025-01-09 06:51:47 UTC,164,-3.49,0.16,-10.2,0,665775
2025-01-09 06:52:11 UTC,165,0.55,-0.78,-8.2,0,877164
2025-01-09 06:52:35 UTC,166,-1.41,0.24,-8.98,0,810174
2025-01-09 06:52:53 UTC,167,-1.37,0.27,-9.02,0,810174
2025-01-09 06:53:10 UTC,168,-1.41,0.2,-9.06,0,810174
2025-01-09 06:53:27 UTC,169,-1.45,0.24,-9.1,0,810174
