created_at,entry_id,field1,field2,field3,field4,field5
2025-01-09 07:50:44 UTC,273,-0.82,0.2,-9.22,1,932217
2025-01-09 07:51:01 UTC,274,-0.67,0.12,-9.3,1,932217
2025-01-09 07:51:25 UTC,275,-0.9,0.04,-8.12,1,930710
2025-01-09 07:51:43 UTC,276,2.43,31.11,-3.45,1,930710
2025-01-09 07:52:01 UTC,277,-0.59,0.82,-9.3,1,930710
2025-01-09 07:52:18 UTC,278,-0.82,0.2,-9.22,1,930710
2025-01-09 07:52:36 UTC,279,-0.86,0.24,-9.22,1,930710
2025-01-09 07:53:00 UTC,280,-0.55,0.43,-9.22,1,101210
2025-01-09 07:53:18 UTC,281,-0.24,30.44,-14.67,1,101210
2025-01-09 07:53:36 UTC,282,-0.39,0.9,-9.06,1,101210
2025-01-09 07:53:53 UTC,283,-0.51,0.43,-9.18,1,101210
2025-01-09 07:54:11 UTC,284,1.77,0.67,-9.22,1,101210
2025-01-09 07:54:35 UTC,285,-0.63,0.55,-9.14,1,843169
2025-01-09 07:54:52 UTC,286,-1.06,32.87,-5.26,1,843169
2025-01-09 07:55:09 UTC,287,0.2,0.55,-9.41,1,843169
2025-01-09 07:55:27 UTC,288,-0.51,0.51,-9.26,1,843169
2025-01-09 07:55:44 UTC,289,-0.31,0.47,-9.45,1,843169
